10.0662,0.0521312,-0.215867
9.92109,0.348777,0.353899
9.71992,0.634593,0.991393
9.63748,0.920496,1.35706
10.4084,1.30353,0.0518337
9.35639,1.47031,2.20334
9.48685,1.78765,2.06053
9.50205,2.09543,2.10444
8.90895,2.26402,3.25783
9.51069,2.73269,2.13109
9.33948,3.01242,2.42057
8.58212,3.08822,3.78141
8.74136,3.47499,3.37667
8.48511,3.71283,3.72323
8.47547,4.0626,3.5579
7.76523,4.07354,4.72338
7.54079,4.31265,4.91183
7.68161,4.77649,4.31879
7.13779,4.83067,5.08276
6.73663,4.95827,5.53348
6.87831,5.49765,4.76207
6.36416,5.53912,5.39027
5.97075,5.66505,5.72775
5.44563,5.64701,6.37217
5.67002,6.42787,5.05714
4.95586,6.18471,6.1489
4.44709,6.13523,6.71585
4.19767,6.43405,6.47819
3.66563,6.29928,7.12861
3.41183,6.62918,6.77599
3.24531,7.21678,5.89875
2.84109,7.36413,5.88113
2.21787,6.87201,7.05442
1.7824,6.81883,7.33153
1.3582,6.75637,7.5867
0.954835,6.75013,7.70029
0.581027,7.03621,7.24085
0.171897,7.19945,6.97641
-0.244116,6.9979,7.3475
-0.620704,6.62023,8.00944
-1.06775,6.98934,7.26081
-1.44172,6.7876,7.53346
-1.79354,6.57585,7.79682
-2.42675,7.26064,6.31899
-2.69,6.7807,7.02645
-2.87054,6.23342,7.8604
-3.46557,6.58155,6.8852
-3.82553,6.43593,6.85842
-4.38169,6.58937,6.16222
-4.37105,5.9274,7.19008
-4.93129,6.05711,6.45805
-5.65064,6.31412,5.34718
-5.80879,5.93312,5.69025
-6.00361,5.62028,5.86544
-6.28267,5.40046,5.78715
-6.70424,5.29692,5.35517
-7.09771,5.15852,4.96438
-7.41693,4.96016,4.70346
-7.31255,4.50236,5.2679
-8.31191,4.69497,3.57552
-7.73747,4.01746,4.97109
-8.69049,4.12288,3.34441
-8.76919,3.79736,3.38019
-8.08334,3.18965,4.81774
-8.76772,3.12371,3.62878
-9.19269,2.94015,2.89995
-9.26488,2.64126,2.79665
-9.475,2.38124,2.40114
-9.5062,2.0789,2.30477
-9.93794,1.85332,1.42319
-10.0338,1.55804,1.13374
-10.3957,1.29306,0.302609
-9.66035,0.916668,1.53155
-9.86397,0.639701,0.934963
-9.74963,0.344384,0.920936
-9.99129,0.0554998,0.170549
-10.2025,-0.246716,-0.567309
-10.0994,-0.542744,-0.708793
-9.885,-0.824421,-0.647191
-10.2371,-1.16615,-1.81883
-9.8913,-1.42638,-1.53914
-9.56191,-1.67369,-1.30607
-9.7751,-2.02443,-2.32683
-9.05704,-2.16437,-1.23084
-9.58654,-2.61894,-3.11208
-9.06864,-2.78732,-2.51441
-8.54219,-2.92787,-1.87625
-8.86447,-3.37538,-3.46875
-8.95665,-3.76411,-4.55807
-8.35975,-3.85263,-3.779
-8.46291,-4.27181,-5.03386
-7.84444,-4.31682,-4.17763
-7.75704,-4.65286,-4.97807
-7.13616,-4.65289,-4.0631
-7.0917,-5.03251,-5.12141
-6.37791,-4.91588,-3.79851
-6.68483,-5.61838,-6.38388
-6.09585,-5.57824,-5.5306
-5.98251,-5.98119,-6.71218
-5.53804,-6.05918,-6.48408
-5.20642,-6.25824,-6.81842
-4.69019,-6.21769,-6.18569
-4.21472,-6.19825,-5.69865
-3.68163,-6.04773,-4.73412
-3.52596,-6.5439,-6.40634
-3.06538,-6.49454,-5.92657
-2.69954,-6.63776,-6.24372
-2.20818,-6.43123,-5.2358
-1.98033,-7.0639,-7.50548
-1.46297,-6.66908,-5.851
-1.06067,-6.68107,-5.79663
-0.703364,-7.14679,-7.50192
-0.252171,-6.45293,-4.83089
0.15108,-7.23721,-7.81088
0.570178,-7.08309,-7.26097
0.898693,-6.40201,-4.73439
1.46845,-7.30637,-8.29409
1.76551,-6.73227,-6.23304
2.32511,-7.16731,-8.09221
2.68237,-6.91516,-7.33256
3.17314,-7.00815,-7.95763
3.54507,-6.82314,-7.52635
3.84886,-6.53934,-6.7253
4.27317,-6.47551,-6.84166
4.27607,-5.81913,-4.53826
5.17299,-6.37437,-7.31995
5.37953,-6.02211,-6.33503
5.8753,-6.00135,-6.81251
6.28384,-5.8726,-6.8699
6.2379,-5.33987,-5.10735
6.75479,-5.31048,-5.68898
6.92072,-4.99697,-4.95963
7.01918,-4.65448,-4.08371
7.39745,-4.50601,-4.21682
7.68788,-4.29627,-4.07763
8.18678,-4.19227,-4.59008
8.15184,-3.81069,-3.53822
8.66082,-3.68896,-4.09128
8.86256,-3.42222,-3.79798
8.72952,-3.03619,-2.6725
9.13976,-2.84827,-3.00118
9.33469,-2.58181,-2.80299
9.49624,-2.30435,-2.55571
9.85978,-2.06973,-2.80834
9.45415,-1.67611,-1.33437
9.87011,-1.44245,-1.76079
9.66302,-1.11102,-0.846878
9.75729,-0.824906,-0.629612
9.98834,-0.545043,-0.727503
9.8076,-0.239616,-0.00659445
